# name|target|subtarget|profile|package_arch|imagebuilder_filename|sha256|kernel_vermagic|bytes
x86_64|x86|64|generic|x86_64|immortalwrt-imagebuilder-25.12.2-x86-64.Linux-x86_64.tar.zst|b9b290f5ef60a22bccd5bdca9c1e7523b8fc84e60462afbf550e20db94acf2c6|0413601b1c3f0490e17f340fe09229ea|54132711
rpi4|bcm27xx|bcm2711|rpi-4|aarch64_cortex-a72|immortalwrt-imagebuilder-25.12.2-bcm27xx-bcm2711.Linux-x86_64.tar.zst|580f6cc142501ed4dda2e3904e9752f9232824c9afda633b10d6138006951dc7|8df305fef179c09d6e1e1dc384023cbb|42276699
rpi5|bcm27xx|bcm2712|rpi-5|aarch64_cortex-a76|immortalwrt-imagebuilder-25.12.2-bcm27xx-bcm2712.Linux-x86_64.tar.zst|85ac6ae66a24bb2b912cb08d88883ba6e088a47b2fae1adfe98533d0521f5e95|9614b8338b7dea1d5b70340f90254007|45141734
